Indiv_ID	CellID	ContactDateTime	ContactStatusID	Campaign_Code	Offer_Code	Contact_Channel	DirectResponse	
0	3938	2015-10-20 08:49:04.0	2	null	null	null	null	
0	3938	2015-10-20 08:59:24.0	2	null	null	null	null	
1	801	2012-01-09 12:42:52.0	2	null	null	null	null	
1	2359	2014-04-05 13:53:35.0	4	null	null	eMail	null	
1	2359	2012-05-06 14:34:03.0	4	C000007010	000000188	eMail	null	
1	2516	2014-01-01 00:00:00.0	2	null	null	null	null	
1	2526	2014-02-01 00:00:00.0	2	null	null	null	null	
1	2546	2014-04-01 00:00:00.0	2	null	null	null	null	
1	2931	2014-06-08 16:42:08.0	2	null	null	null	null	
1	3511	2014-11-18 15:27:49.0	2	null	null	null	null	
1	3511	2014-11-18 19:00:49.0	2	null	null	null	null	
1	3662	2015-03-28 17:14:22.0	2	null	null	null	null	
1	3662	2015-03-28 17:15:45.0	2	null	null	null	null	
1	3662	2015-03-28 17:31:52.0	2	null	null	null	null	
1	3933	2015-10-20 08:49:04.0	2	null	null	null	null	
1	3933	2015-10-20 08:59:24.0	2	null	null	null	null	
1	3933	2015-10-20 09:21:59.0	2	null	null	null	null	
1	3933	2015-10-20 10:06:47.0	2	null	null	null	null	
1	3934	2015-10-20 08:49:04.0	2	null	null	null	null	
1	3934	2015-10-20 08:59:24.0	2	null	null	null	null	
1	3934	2015-10-20 09:21:59.0	2	null	null	null	null	
1	3934	2015-10-20 10:06:47.0	2	null	null	null	null	
1	3938	2015-10-20 08:49:04.0	2	null	null	null	null	
1	3938	2015-10-20 08:59:24.0	2	null	null	null	null	
1	3939	2015-10-20 09:22:00.0	2	null	null	null	null	
1	3939	2015-10-20 10:06:48.0	2	null	null	null	null	
1	3942	2015-10-20 09:22:00.0	2	null	null	null	null	
1	3942	2015-10-20 10:06:48.0	2	null	null	null	null	
1	7140	2011-10-29 14:49:18.0	2	C000007008	null	null	null	
1	9720	2012-09-07 16:41:04.0	2	C000007056	000000358	null	null	
1	88081	2012-04-11 05:47:24.0	2	C000000148	000000200	null	null	
1	88419	2012-05-22 13:09:20.0	2	C000087062	000000094	null	null	
1	89121	2013-01-29 16:20:08.0	2	null	null	null	null	
1	89632	2012-12-03 14:59:06.0	2	null	null	null	null	
